,Power
242.8,-100.24
243.0,-98.61
243.2,-97.6
243.4,-100.76
243.6,-91.15
243.8,-96.66
244.0,-106.89
244.2,-108.48
244.4,-116.05
244.6,-109.24
244.8,-103.68
245.0,-102.0
245.2,-94.63
245.4,-91.87
245.6,-93.31
245.8,-93.78
246.0,-94.83
246.2,-94.27
246.4,-102.91
246.6,-101.67
246.8,-101.27
247.0,-102.88
247.2,-103.94
247.4,-107.72
247.6,-90.35
247.8,-90.35
248.0,-90.32
248.2,-90.55
248.4,-109.98
248.6,-111.19
248.8,-107.42
249.0,-105.28
249.2,-97.41
249.4,-94.78
249.6,-92.29
249.8,-91.46
250.0,-97.22
250.2,-98.48
250.4,-102.12
250.6,-96.9
250.8,-98.91
251.0,-92.36
251.2,-93.83
251.4,-102.33
251.6,-93.12
251.8,-96.01
252.0,-97.26
252.2,-101.2
252.4,-98.22
252.6,-102.13
252.8,-107.48
253.0,-101.55
253.2,-95.84
253.4,-100.32
253.6,-104.27
253.8,-110.82
254.0,-109.2
254.2,-95.85
254.4,-91.38
254.6,-88.45
254.8,-86.07
255.0,-88.24
255.2,-93.86
255.4,-90.12
255.6,-94.72
255.8,-86.84
256.0,-83.15
256.2,-82.46
256.4,-93.81
256.6,-92.33
256.8,-91.76
257.0,-88.77
257.2,-93.67
257.4,-93.53
257.6,-93.1
257.8,-95.72
258.0,-122.7
258.2,-100.92
258.4,-108.12
258.6,-105.38
258.8,-97.81
259.0,-105.68
259.2,-94.64
259.4,-96.27
259.6,-92.33
259.8,-92.47
260.0,-90.57
260.2,-85.67
260.4,-84.95
260.6,-80.89
260.8,-81.47
261.0,-81.92
261.2,-89.98
261.4,-82.86
261.6,-79.41
261.8,-80.0
262.0,-96.93
262.2,-100.04
262.4,-103.13
262.6,-94.31
262.8,-90.38
263.0,-87.48
263.2,-86.39
263.4,-87.82
263.6,-89.83
263.8,-85.8
264.0,-84.32
264.2,-85.15
264.4,-111.5
264.6,-96.22
264.8,-91.49
265.0,-91.6
265.2,-97.52
265.4,-94.39
265.6,-91.38
265.8,-93.51
266.0,-95.53
266.2,-94.22
266.4,-97.49
266.6,-99.4
266.8,-87.21
267.0,-87.32
267.2,-89.05
267.4,-92.35
267.6,-109.42
267.8,-105.17
268.0,-103.82
268.2,-104.47
268.4,-95.46
268.6,-94.59
268.8,-102.18
269.0,-100.75
269.2,-108.51
269.4,-110.43
269.6,-107.79
269.8,-104.08
270.0,-96.47
270.2,-101.21
270.4,-96.7
270.6,-95.74
270.8,-107.25
271.0,-103.41
271.2,-94.3
271.4,-91.24
271.6,-100.72
271.8,-98.13
272.0,-97.89
272.2,-106.48
272.4,-98.43
272.6,-118.06
272.8,-102.15
273.0,-100.02
273.2,-93.3
273.4,-96.24
273.6,-107.29
273.8,-114.97
274.0,-89.07
274.2,-88.26
274.4,-88.38
274.6,-91.35
274.8,-87.29
275.0,-85.53
275.2,-85.8
275.4,-87.6
275.6,-98.3
275.8,-124.47
276.0,-99.27
276.2,-95.68
276.4,-110.12
276.6,-112.48
276.8,-118.56
277.0,-113.58
277.2,-92.13
277.4,-92.66
277.6,-94.63
277.8,-100.1
278.0,-90.69
278.2,-93.21
278.4,-96.06
278.6,-90.96
278.8,-107.27
279.0,-95.73
279.2,-92.66
279.4,-93.67
279.6,-100.14
279.8,-97.49
280.0,-97.41
280.2,-104.37
280.4,-94.28
280.6,-92.72
280.8,-95.27
281.0,-107.66
281.2,-92.77
281.4,-92.5
281.6,-98.32
281.8,-97.73
282.0,-93.67
282.2,-91.0
282.4,-89.0
282.6,-88.41
282.8,-84.92
283.0,-85.86
283.2,-87.62
283.4,-88.66
283.6,-93.53
283.8,-88.64
284.0,-88.11
284.2,-96.1
284.4,-93.18
284.6,-88.31
284.8,-86.83
285.0,-88.07
285.2,-99.04
285.4,-93.62
285.6,-89.18
285.8,-84.64
286.0,-91.13
286.2,-94.6
286.4,-88.0
286.6,-87.96
286.8,-89.48
287.0,-88.9
287.2,-88.73
287.4,-95.3
287.6,-91.83
287.8,-91.3
288.0,-89.52
288.2,-87.73
288.4,-86.56
288.6,-87.05
288.8,-87.07
289.0,-88.28
289.2,-102.42
289.4,-95.91
289.6,-92.38
289.8,-96.37
290.0,-96.19
290.2,-92.07
290.4,-94.88
290.6,-100.29
290.8,-88.47
291.0,-89.43
291.2,-88.5
291.4,-86.78
291.6,-104.36
291.8,-102.72
292.0,-94.34
292.2,-90.15
292.4,-90.7
292.6,-91.18
292.8,-92.12
293.0,-96.17
293.2,-95.32
293.4,-96.38
293.6,-95.5
293.8,-97.41
294.0,-95.24
294.2,-93.48
294.4,-100.06
294.6,-100.25
294.8,-92.31
295.0,-91.5
295.2,-87.33
295.4,-88.42
295.6,-93.05
295.8,-90.49
296.0,-92.02
296.2,-90.98
296.4,-92.17
296.6,-87.55
296.8,-84.0
297.0,-82.89
297.2,-67.1
297.4,-75.99
297.6,-97.15
297.8,-97.39
298.0,-84.49
298.2,-87.52
298.4,-89.71
298.6,-87.78
298.8,-83.98
299.0,-83.5
299.2,-85.89
299.4,-91.13
299.6,-92.62
299.8,-97.57
300.0,-89.27
300.2,-88.89
300.4,-103.42
300.6,-102.75
300.8,-104.85
301.0,-107.02
301.2,-100.22
301.4,-98.53
301.6,-91.65
301.8,-89.55
302.0,-87.09
302.2,-88.58
302.4,-92.46
302.6,-89.68
302.8,-88.44
303.0,-89.57
303.2,-89.91
303.4,-90.5
303.6,-87.97
303.8,-87.41
304.0,-86.3
304.2,-86.38
304.4,-93.36
304.6,-92.19
304.8,-101.72
305.0,-96.59
305.2,-98.63
305.4,-98.02
305.6,-106.56
305.8,-104.4
306.0,-91.36
306.2,-91.76
306.4,-93.11
306.6,-94.32
306.8,-96.93
307.0,-96.17
307.2,-90.44
307.4,-90.63
307.6,-102.31
307.8,-93.39
308.0,-90.32
308.2,-90.38
308.4,-94.04
308.6,-90.84
308.8,-89.99
309.0,-93.07
309.2,-89.52
309.4,-89.36
309.6,-92.02
309.8,-94.44
310.0,-98.81
310.2,-98.92
310.4,-102.41
310.6,-108.76
310.8,-96.51
311.0,-95.29
311.2,-93.78
311.4,-93.09
311.6,-87.68
311.8,-87.55
312.0,-88.92
312.2,-91.5
312.4,-104.7
312.6,-97.38
312.8,-94.07
313.0,-94.33
313.2,-93.19
313.4,-93.48
313.6,-96.93
313.8,-101.51
314.0,-90.26
314.2,-89.04
314.4,-89.13
314.6,-91.14
314.8,-94.53
315.0,-98.75
315.2,-95.45
315.4,-98.49
315.6,-90.9
315.8,-94.73
316.0,-93.93
316.2,-89.29
316.4,-105.95
316.6,-100.22
316.8,-92.88
317.0,-87.18
317.2,-99.06
317.4,-94.57
317.6,-91.39
317.8,-91.76
318.0,-98.96
318.2,-106.92
318.4,-102.78
318.6,-94.04
318.8,-103.09
319.0,-96.59
319.2,-94.21
319.4,-101.16
319.6,-101.2
319.8,-95.74
320.0,-92.36
320.2,-94.01
320.4,-99.03
320.6,-95.44
320.8,-94.49
321.0,-95.68
321.2,-97.7
321.4,-99.04
321.6,-96.11
321.8,-92.98
322.0,-93.96
322.2,-94.06
322.4,-96.67
322.6,-103.14
322.8,-94.73
323.0,-99.73
323.2,-97.83
323.4,-93.5
323.6,-94.16
323.8,-98.13
324.0,-99.66
324.2,-102.63
324.4,-96.73
324.6,-98.8
324.8,-103.12
325.0,-113.24
325.2,-93.92
325.4,-96.58
325.6,-104.51
325.8,-105.74
326.0,-95.53
326.2,-92.73
326.4,-92.35
326.6,-93.46
326.8,-99.05
327.0,-104.55
327.2,-110.46
327.4,-109.61
327.6,-92.44
327.8,-92.76
328.0,-93.73
328.2,-95.51
328.4,-97.78
328.6,-98.14
328.8,-97.34
329.0,-97.01
